Food Category,Meal Type,Protein,Carbs,Fat,Fiber,Sugar,Sodium,Water,Calories,Saturated Fat
Meat,Snack,48.7,52.9,9.3,5.9,5.2,888,876,86,2.51
Dairy,Snack,22.1,59.4,30.1,5.2,12.4,424,986,173,6.59
Dairy,Lunch,31.6,30.8,13.3,3.1,18.3,880,643,359,3.27
Meat,Snack,5.3,70.4,40.3,6.1,47.2,423,470,508,6.85
Fruits,Breakfast,21.6,97.9,23.5,8.1,45.5,934,624,294,4.39
Dairy,Dinner,4.7,23.6,7.5,9.2,4.8,971,989,315,1.69
Snacks,Dinner,28.8,39.6,40.3,6.5,23.9,842,903,191,9.25
Fruits,Lunch,49.2,81.2,5.8,3.7,44.1,343,573,485,1.25
Dairy,Dinner,30.3,69.7,21.5,5.4,39.9,731,491,282,4.43
Meat,Snack,19.6,61.0,29.7,2.7,4.1,871,272,281,7.16
Grains,Lunch,39.6,53.4,44.6,8.7,38.4,433,929,233,10.02
Meat,Dinner,19.0,39.9,1.1,0.8,39.1,762,642,184,0.23
Meat,Snack,44.3,76.2,39.8,5.5,5.1,828,168,449,10.12
Meat,Snack,20.3,33.9,44.9,7.6,28.5,587,232,547,9.88
Meat,Dinner,13.9,46.2,31.8,8.8,28.8,764,257,285,6.33
Fruits,Breakfast,2.6,93.3,22.2,3.6,40.0,675,831,244,3.67
Beverages,Lunch,29.7,70.2,37.9,8.6,32.7,569,269,484,7.86
Meat,Snack,34.7,55.6,21.1,2.9,35.3,561,859,592,4.63
Fruits,Dinner,8.4,65.5,35.9,8.4,49.3,973,845,57,6.32
Meat,Dinner,47.5,34.2,25.5,6.0,15.9,247,522,434,6.63
Vegetables,Breakfast,16.1,76.4,34.7,4.5,22.0,360,727,527,6.74
Dairy,Dinner,36.3,17.8,29.8,2.0,42.9,39,818,538,7.73
Beverages,Dinner,20.7,97.9,27.3,4.7,4.8,168,202,276,6.2
Fruits,Dinner,12.3,55.4,26.1,4.1,4.8,38,750,558,5.95
Fruits,Snack,42.1,25.7,3.1,7.8,18.6,355,510,308,0.82
Fruits,Breakfast,41.9,77.4,29.2,1.2,17.0,552,937,56,6.57
Meat,Lunch,4.8,45.9,45.1,7.9,17.1,213,971,565,8.41
Dairy,Dinner,11.1,76.6,38.8,8.6,12.7,88,736,91,7.64
Vegetables,Lunch,12.0,54.0,6.6,2.2,29.4,198,332,282,1.26
Grains,Lunch,46.0,19.4,34.3,6.6,23.2,570,265,563,9.32
Snacks,Lunch,45.4,8.8,44.5,4.8,28.2,527,655,566,12.84
Vegetables,Snack,9.1,67.7,39.1,3.8,20.8,612,828,315,7.31
Dairy,Lunch,11.5,24.5,2.6,9.3,1.7,369,143,216,0.71
Fruits,Snack,48.4,67.0,24.3,5.9,9.5,159,653,589,6.0
Fruits,Lunch,49.6,7.8,37.7,4.9,1.5,85,899,381,13.36
Vegetables,Snack,30.4,72.8,31.4,7.3,38.4,934,569,161,6.45
Meat,Lunch,22.3,10.4,14.3,10.0,11.1,935,320,57,4.01
Grains,Snack,36.6,74.4,34.6,8.8,18.0,976,487,499,7.64
Beverages,Dinner,41.9,5.5,14.4,4.5,27.4,816,179,412,4.25
Beverages,Dinner,38.4,94.0,1.1,4.7,45.4,343,323,575,0.22
Snacks,Snack,47.2,47.7,23.9,1.7,17.2,174,130,362,5.89
Fruits,Lunch,34.3,27.1,16.6,8.4,45.6,950,593,492,4.02
Grains,Snack,16.2,51.4,24.2,6.1,31.0,865,912,470,4.82
Dairy,Lunch,45.5,72.6,40.7,9.2,39.5,311,734,509,8.89
Fruits,Lunch,6.8,20.6,11.5,1.2,39.8,107,709,296,2.27
Beverages,Snack,6.6,12.9,45.2,2.1,33.0,98,234,181,9.56
Fruits,Breakfast,40.1,49.7,14.9,2.6,40.3,208,955,572,3.39
Beverages,Lunch,48.2,79.6,15.5,9.5,8.5,530,306,507,3.77
Fruits,Dinner,36.7,47.9,34.7,4.0,34.9,107,639,346,7.87
Vegetables,Dinner,44.4,28.2,17.5,7.0,30.7,597,122,537,4.45
Beverages,Lunch,23.1,30.9,9.2,8.2,36.4,201,101,425,2.07
Snacks,Dinner,36.1,15.1,12.3,8.0,28.1,530,853,560,3.31
Beverages,Dinner,39.3,67.7,18.2,4.0,42.6,469,935,148,3.91
Snacks,Lunch,36.0,56.7,21.1,0.9,31.1,645,362,322,4.67
Snacks,Breakfast,21.4,78.0,14.2,9.0,1.1,17,327,240,3.75
Dairy,Dinner,45.2,42.2,1.5,8.3,41.1,122,859,144,0.36
Meat,Dinner,18.1,14.7,25.8,9.7,6.7,761,539,450,7.04
Grains,Dinner,4.5,95.5,49.5,8.9,28.9,577,891,467,8.49
Snacks,Dinner,22.2,7.9,35.6,9.7,41.2,38,468,309,9.54
Beverages,Lunch,15.2,21.0,2.0,4.1,39.2,800,841,594,0.45
Grains,Snack,35.9,52.3,35.1,2.7,34.0,783,646,527,7.83
Grains,Snack,18.6,75.8,49.8,3.6,10.8,817,927,304,10.5
Dairy,Lunch,12.4,83.2,47.4,6.6,33.0,468,383,235,8.65
Dairy,Dinner,36.5,70.7,14.9,3.0,41.7,370,589,176,3.15
Vegetables,Dinner,13.6,69.1,30.8,3.6,10.5,373,888,484,6.36
Dairy,Dinner,34.6,12.5,17.0,3.8,31.7,704,667,131,4.62
Fruits,Dinner,29.7,67.8,7.0,3.6,14.7,835,423,543,1.54
Meat,Snack,2.4,11.3,18.7,9.4,10.4,885,774,89,3.87
Meat,Dinner,10.8,54.5,8.7,4.3,46.7,712,775,359,1.6
Meat,Snack,18.9,9.8,5.0,4.0,22.9,907,275,342,1.32
Grains,Breakfast,18.4,11.1,29.6,2.8,22.1,446,189,50,7.66
Meat,Dinner,47.1,45.8,38.6,0.7,23.3,259,694,403,9.38
Dairy,Breakfast,43.6,16.8,17.4,5.3,8.5,266,979,267,5.11
Meat,Dinner,50.0,96.3,23.6,5.4,42.6,142,831,537,4.99
Vegetables,Lunch,14.5,38.5,20.7,1.0,18.4,889,273,519,4.38
Meat,Lunch,34.5,57.5,9.2,4.2,43.7,108,826,168,1.99
Beverages,Lunch,17.1,70.4,21.0,6.4,5.8,196,865,122,4.73
Snacks,Lunch,46.7,91.0,45.0,7.0,49.7,494,751,153,9.43
Vegetables,Dinner,33.4,9.3,17.1,7.8,25.4,17,755,263,4.81
Vegetables,Breakfast,11.5,43.5,21.7,6.3,45.4,335,214,253,4.14
Vegetables,Lunch,4.6,68.8,47.2,7.1,26.1,85,567,488,8.28
Vegetables,Snack,48.7,54.6,2.9,0.4,7.0,388,169,565,0.76
Fruits,Lunch,1.4,47.7,20.3,4.8,27.0,595,209,179,3.45
Dairy,Breakfast,17.3,35.9,7.1,4.1,43.6,12,247,213,1.48
Vegetables,Snack,44.5,70.5,37.4,8.3,27.1,36,689,355,8.34
Snacks,Dinner,28.0,64.6,35.4,8.3,35.3,672,518,178,7.34
Grains,Breakfast,36.3,58.0,32.3,8.4,21.7,93,288,530,7.3
Beverages,Dinner,7.7,97.6,39.2,8.8,5.7,292,193,417,8.14
Snacks,Dinner,29.1,67.1,28.2,4.8,41.3,810,652,365,5.8
Fruits,Dinner,19.1,38.6,30.2,7.1,12.6,766,996,140,6.86
Snacks,Dinner,38.9,16.9,33.7,3.4,32.7,589,718,106,8.96
Dairy,Lunch,23.9,51.4,16.1,2.2,14.5,783,817,410,3.58
Dairy,Dinner,30.1,20.9,15.6,6.7,18.0,896,996,223,4.03
Dairy,Breakfast,41.1,34.7,14.7,4.6,8.6,341,931,160,3.93
Beverages,Snack,22.3,28.7,10.1,3.8,25.7,656,350,224,2.33
Snacks,Breakfast,40.8,71.1,46.9,3.5,37.1,646,405,336,10.13
Vegetables,Snack,41.8,62.8,19.3,4.2,33.0,666,326,343,4.29
Fruits,Snack,43.4,82.9,5.8,7.2,14.7,440,970,454,1.31
Grains,Snack,6.2,52.4,9.0,6.3,1.1,676,454,199,2.23
Vegetables,Dinner,28.6,77.5,9.6,1.7,6.9,698,605,444,2.23
Snacks,Breakfast,7.0,73.1,3.1,3.9,10.0,768,428,139,0.61
Fruits,Lunch,8.7,55.9,10.3,1.1,26.0,745,159,121,1.92
Grains,Snack,2.2,91.8,31.5,9.1,26.9,592,334,287,5.33
Vegetables,Snack,6.7,87.7,4.4,0.8,41.8,187,211,541,0.75
Grains,Lunch,17.9,53.9,9.9,2.1,33.4,980,277,593,1.98
Vegetables,Dinner,21.3,67.6,5.8,7.6,44.3,328,265,311,1.13
Grains,Lunch,20.4,84.3,36.7,5.6,36.2,321,308,587,7.01
Fruits,Lunch,12.6,20.4,2.2,5.9,11.4,10,861,391,0.52
Grains,Dinner,10.0,89.4,12.9,7.7,29.8,164,387,79,2.31
Fruits,Snack,27.7,41.9,38.4,5.3,36.9,459,671,67,8.48
Dairy,Dinner,5.5,54.5,47.4,1.8,8.7,41,633,587,9.48
Dairy,Snack,33.7,37.7,42.0,4.3,15.2,540,789,136,10.27
Fruits,Lunch,45.4,56.8,31.8,8.2,35.5,318,364,561,7.26
Fruits,Snack,9.0,40.7,34.6,7.8,40.1,905,261,447,6.49
Beverages,Lunch,25.4,18.2,45.1,9.1,27.0,46,444,204,11.32
Beverages,Lunch,39.6,83.5,16.8,8.0,44.6,602,228,570,3.49
Fruits,Lunch,18.6,46.2,36.0,3.6,27.6,613,193,521,7.48
Grains,Dinner,29.2,12.5,9.7,7.6,34.5,42,251,481,2.57
Snacks,Dinner,38.2,16.8,4.1,6.9,4.1,70,686,369,1.26
Dairy,Dinner,2.3,11.8,16.2,5.0,22.7,90,353,568,3.09
Dairy,Lunch,6.9,25.7,29.1,7.2,45.5,509,100,172,5.55
Vegetables,Snack,41.0,12.7,47.1,0.8,19.1,115,558,201,13.34
Beverages,Breakfast,12.1,33.3,4.5,6.4,20.4,127,187,404,0.94
Snacks,Breakfast,20.0,12.3,30.3,9.9,38.1,194,906,531,7.63
Vegetables,Lunch,8.7,6.7,35.1,4.7,26.0,261,538,115,8.62
Meat,Breakfast,36.3,13.9,26.9,5.7,8.8,916,269,59,7.87
Snacks,Lunch,38.6,36.8,12.2,8.1,22.2,263,829,481,2.98
Beverages,Snack,6.8,85.3,17.0,8.1,40.8,607,182,328,2.92
Fruits,Lunch,27.3,37.5,16.7,0.3,47.1,703,811,358,3.7
Meat,Lunch,43.6,18.1,10.5,7.1,1.0,26,629,530,3.55
Meat,Snack,37.2,81.9,20.7,6.1,19.8,722,219,95,4.48
Snacks,Lunch,7.1,96.4,40.0,6.5,20.2,734,144,384,7.2
Beverages,Breakfast,30.2,70.8,42.0,4.6,8.4,6,721,103,9.73
Vegetables,Snack,14.0,52.9,17.1,2.9,6.5,53,839,289,3.84
Snacks,Snack,35.6,13.8,4.0,8.2,21.5,134,186,551,1.1
Grains,Snack,18.0,70.8,42.8,9.5,30.5,665,848,497,8.31
Beverages,Dinner,22.0,67.8,8.4,2.2,2.2,648,899,414,2.15
Vegetables,Dinner,1.1,10.5,28.1,6.4,21.8,937,528,205,5.11
Meat,Breakfast,20.4,92.9,35.0,3.9,44.0,49,246,574,6.54
Snacks,Dinner,40.5,34.5,28.7,8.3,44.0,957,802,433,6.89
Fruits,Breakfast,12.3,52.9,37.8,9.2,24.2,183,421,546,7.37
Beverages,Breakfast,16.9,15.1,4.0,7.5,9.2,10,888,410,1.05
Fruits,Dinner,18.1,74.7,19.7,0.2,46.6,270,671,79,3.72
Vegetables,Breakfast,18.8,10.5,18.6,7.9,2.5,966,894,500,5.76
Fruits,Dinner,25.3,83.8,7.4,8.6,25.1,206,233,425,1.49
Snacks,Breakfast,21.4,27.1,29.3,5.1,47.2,304,132,113,6.58
Snacks,Breakfast,2.4,71.1,34.1,3.1,41.3,250,875,185,5.65
Beverages,Breakfast,26.3,63.2,33.1,4.1,5.6,502,880,559,7.97
Meat,Breakfast,37.1,27.2,11.9,7.7,22.0,173,901,482,3.02
Snacks,Snack,16.6,42.3,28.8,2.2,28.3,700,768,542,5.95
Vegetables,Lunch,9.5,61.5,19.0,10.0,3.2,829,291,300,4.38
Dairy,Breakfast,26.2,34.1,17.9,0.7,12.5,399,804,485,4.34
Beverages,Dinner,6.7,90.0,31.2,2.6,22.0,372,672,71,5.58
Vegetables,Breakfast,43.1,87.1,38.2,2.7,18.4,76,669,181,8.43
Meat,Snack,20.2,83.1,49.8,6.9,27.9,836,203,330,9.67
Snacks,Lunch,11.4,13.3,28.6,1.7,1.7,535,300,249,8.33
Vegetables,Snack,41.5,78.3,24.6,6.9,17.7,70,189,224,5.5
Beverages,Dinner,15.1,97.7,27.5,2.1,28.2,367,388,246,5.09
Meat,Lunch,26.9,25.2,26.7,7.1,21.0,645,610,499,6.55
Dairy,Dinner,6.2,80.8,32.6,8.9,21.6,334,297,194,5.85
Dairy,Lunch,17.4,59.6,46.6,6.1,24.0,50,323,194,9.35
Meat,Dinner,21.8,28.4,34.2,5.2,20.9,511,393,200,7.97
Grains,Snack,10.6,74.4,34.2,0.1,41.5,668,570,244,6.13
Dairy,Breakfast,22.3,10.4,17.3,6.9,1.7,993,567,185,5.6
Fruits,Lunch,25.9,65.9,17.3,7.3,14.9,576,489,219,3.75
Meat,Snack,8.8,78.3,5.7,4.9,38.6,60,913,403,1.01
Fruits,Breakfast,10.9,86.3,2.6,1.4,40.3,977,603,214,0.46
Fruits,Breakfast,16.4,92.3,47.8,3.8,2.9,870,958,190,11.27
Snacks,Breakfast,21.7,10.6,33.8,8.2,0.9,822,806,157,11.24
Beverages,Lunch,49.2,88.3,12.2,0.1,32.3,69,192,550,2.64
Beverages,Snack,32.4,86.4,46.9,5.5,17.4,601,570,319,9.98
Snacks,Dinner,45.2,73.9,13.9,0.5,28.8,275,617,68,3.08
Fruits,Lunch,5.9,45.5,41.7,7.8,9.0,319,971,519,8.45
Vegetables,Dinner,39.2,35.6,13.0,4.3,0.6,539,317,570,4.12
Snacks,Breakfast,30.3,95.8,42.4,2.6,44.0,752,250,406,8.31
Beverages,Dinner,11.2,16.5,43.0,9.4,15.6,758,449,589,10.01
Fruits,Breakfast,34.9,9.3,22.7,7.3,27.8,192,560,60,6.38
Beverages,Dinner,16.0,25.4,40.8,4.5,49.4,505,742,532,8.8
Fruits,Snack,36.9,94.6,5.7,7.6,29.9,498,612,458,1.17
Vegetables,Dinner,49.9,42.9,33.6,7.7,15.7,108,360,377,8.53
Meat,Breakfast,9.5,18.2,16.6,6.7,25.6,108,615,563,3.59
Snacks,Breakfast,49.6,75.5,22.6,9.9,7.6,620,746,204,5.62
Fruits,Dinner,37.1,98.1,18.2,1.3,18.7,97,557,218,3.86
Snacks,Lunch,33.1,16.9,5.7,5.6,18.3,517,548,369,1.53
Vegetables,Snack,44.9,6.3,33.4,6.7,26.5,987,263,463,9.85
Dairy,Breakfast,16.8,17.6,32.3,7.2,36.3,661,925,487,7.54
Meat,Lunch,30.6,38.8,15.5,5.3,14.6,110,874,84,3.73
Dairy,Snack,1.0,83.5,16.8,1.7,16.6,331,515,156,2.94
Snacks,Snack,11.9,23.5,28.3,4.4,49.5,559,835,202,5.89
Snacks,Dinner,40.3,45.0,15.8,6.2,20.7,608,971,558,3.78
Vegetables,Lunch,42.8,65.0,1.6,9.3,45.3,871,688,499,0.35
Beverages,Dinner,28.6,52.9,43.1,1.7,20.3,922,825,519,9.56
Snacks,Snack,29.0,85.4,26.3,7.3,47.9,257,308,235,5.18
Dairy,Snack,34.1,27.1,42.6,7.8,49.9,178,172,295,10.28
Grains,Snack,25.0,94.3,31.2,5.3,13.3,447,350,323,6.51
Snacks,Lunch,46.1,9.8,48.3,3.2,19.3,0,399,245,14.11
Beverages,Dinner,15.5,86.6,31.3,0.7,26.4,782,655,407,5.9
Meat,Breakfast,47.9,16.0,24.1,4.8,38.4,743,618,485,6.56
Grains,Breakfast,25.1,40.9,1.4,9.8,6.8,670,223,427,0.35
Meat,Breakfast,15.7,8.9,45.6,6.4,34.1,617,260,277,11.62
Vegetables,Breakfast,31.6,59.5,34.0,4.9,8.6,499,324,493,8.1
Snacks,Breakfast,5.4,99.3,23.2,5.2,32.1,733,150,338,3.97
Vegetables,Dinner,14.9,51.5,29.4,6.8,43.8,266,563,574,5.69
Vegetables,Lunch,14.9,93.4,20.3,7.1,17.1,11,160,514,3.92
Meat,Snack,5.7,50.0,37.8,8.3,35.3,202,551,62,6.71
Fruits,Breakfast,7.7,23.9,26.9,5.6,26.3,647,820,196,5.42
Vegetables,Lunch,45.0,37.3,17.3,9.5,36.5,169,873,92,4.21
Snacks,Lunch,47.2,71.9,9.2,6.0,19.6,758,728,326,2.11
Fruits,Dinner,46.8,31.9,27.1,7.6,40.3,583,101,417,6.75
Beverages,Snack,32.7,23.0,3.4,9.0,31.8,661,401,465,0.85
Grains,Dinner,27.7,75.2,7.6,1.6,49.2,747,104,410,1.51
Meat,Snack,31.6,68.0,30.3,0.8,23.4,626,732,165,6.51
Meat,Breakfast,41.6,50.8,35.1,7.5,43.7,249,735,440,7.97
Beverages,Dinner,10.5,84.7,30.9,9.7,19.5,419,132,501,5.77
Meat,Dinner,38.0,87.7,42.0,5.2,37.3,806,151,337,8.69
Dairy,Breakfast,2.5,80.1,31.2,0.9,47.9,655,210,492,5.11
Beverages,Breakfast,45.1,40.7,36.0,9.6,22.8,938,105,159,8.85
Dairy,Dinner,9.1,20.9,42.8,8.6,42.9,392,707,481,8.75
Snacks,Snack,23.9,18.5,34.0,4.4,2.1,293,653,60,10.3
Grains,Snack,36.7,35.5,12.6,0.8,25.1,458,431,561,3.05
Beverages,Dinner,23.6,15.6,49.9,5.3,44.9,996,487,580,12.38
Snacks,Dinner,37.6,41.0,44.2,9.7,21.7,100,128,515,10.59
Snacks,Breakfast,40.0,17.9,10.4,2.7,7.5,241,966,406,3.04
Snacks,Breakfast,24.3,26.3,4.7,3.0,17.1,966,206,344,1.14
Dairy,Breakfast,4.6,32.7,34.9,5.7,38.0,898,943,98,6.27
Meat,Breakfast,40.7,81.6,44.6,5.3,40.5,6,877,141,9.39
Beverages,Dinner,29.8,6.3,7.6,1.1,23.4,545,471,138,2.19
Meat,Lunch,16.3,75.0,37.9,9.1,6.1,262,512,256,8.4
Beverages,Snack,30.4,70.3,25.9,8.1,46.2,172,323,267,5.3
Snacks,Breakfast,21.7,82.1,15.0,0.8,30.6,107,144,488,2.93
Vegetables,Dinner,28.6,39.7,25.3,9.2,25.9,523,201,364,5.77
Beverages,Lunch,34.8,36.9,43.0,2.8,26.3,565,362,521,10.22
Vegetables,Lunch,10.4,71.6,19.1,1.7,16.2,992,436,437,3.67
Vegetables,Breakfast,46.6,14.1,14.9,3.2,36.2,992,148,588,4.1
Beverages,Lunch,13.1,93.5,29.9,4.8,33.9,699,524,470,5.42
Fruits,Breakfast,1.6,47.7,24.5,1.1,0.5,41,558,343,6.02
Vegetables,Lunch,7.7,58.2,39.0,3.6,26.7,534,320,311,7.14
Snacks,Breakfast,39.6,56.8,29.1,7.5,48.3,933,122,413,6.41
Beverages,Breakfast,15.2,11.1,1.1,1.8,3.4,856,765,336,0.32
Fruits,Lunch,19.8,8.2,46.5,9.0,18.3,803,101,141,12.74
Grains,Lunch,35.6,30.5,17.7,8.1,34.4,851,201,268,4.29
Grains,Snack,44.7,76.7,28.5,7.3,30.0,586,782,287,6.24
Fruits,Lunch,13.4,16.8,28.8,1.6,37.3,187,743,473,6.52
Beverages,Snack,36.7,37.8,32.2,6.7,45.7,638,708,359,7.5
Vegetables,Snack,4.1,9.4,41.6,7.7,12.5,562,211,405,9.19
Beverages,Dinner,33.2,64.3,44.3,2.7,18.2,739,425,353,9.84
Meat,Dinner,46.9,73.7,21.9,8.0,22.5,432,860,531,4.95
Vegetables,Lunch,29.7,41.7,35.5,4.0,23.2,501,728,169,8.14
Beverages,Breakfast,32.3,75.8,3.3,8.0,17.2,956,874,328,0.72
Snacks,Breakfast,29.7,11.9,3.5,6.7,41.2,739,303,192,0.93
Beverages,Snack,28.8,79.4,31.2,9.4,37.5,494,935,80,6.28
Meat,Breakfast,35.6,35.4,46.9,1.7,18.3,805,560,180,11.52
Snacks,Lunch,17.2,28.1,48.7,0.7,2.3,612,794,206,13.35
Fruits,Breakfast,16.3,91.7,26.9,3.7,49.9,882,987,563,4.88
Snacks,Snack,16.2,12.3,5.6,9.6,22.7,197,480,363,1.4
Dairy,Dinner,17.1,44.3,31.7,3.0,9.0,284,978,299,7.19
Dairy,Lunch,45.3,39.1,10.8,5.4,7.2,356,753,300,2.92
Fruits,Snack,18.7,82.2,32.3,3.3,29.5,88,977,423,6.2
Fruits,Snack,6.8,64.7,27.3,0.9,1.9,895,623,546,6.46
Meat,Dinner,18.3,77.9,40.6,2.5,21.5,391,541,520,8.0
Grains,Breakfast,21.3,7.8,6.2,2.7,13.8,8,405,528,1.75
Beverages,Lunch,14.1,7.1,15.8,9.4,5.9,215,741,570,4.6
Fruits,Lunch,25.0,23.7,38.6,2.6,17.1,715,791,549,9.58
Beverages,Breakfast,40.5,18.7,23.7,3.6,49.0,980,286,84,6.17
Grains,Snack,20.0,34.8,2.4,4.6,48.4,145,137,475,0.51
Grains,Dinner,22.6,52.6,27.7,4.3,39.5,129,779,186,5.7
Beverages,Snack,44.1,56.3,40.6,6.0,30.4,297,373,435,9.31
Fruits,Breakfast,23.3,26.2,6.2,8.8,26.5,701,442,196,1.46
Beverages,Dinner,12.5,88.7,27.8,2.6,27.5,859,488,589,5.11
Dairy,Snack,33.4,81.9,19.9,9.0,43.6,970,424,166,4.05
Dairy,Lunch,12.0,18.8,25.0,10.0,0.4,769,741,214,7.48
Fruits,Snack,27.5,75.7,24.3,4.8,24.9,33,387,261,5.01
Vegetables,Breakfast,18.0,55.3,40.3,8.9,1.5,221,204,396,10.61
Dairy,Dinner,23.2,35.8,16.7,0.2,14.9,510,349,552,3.89
Dairy,Lunch,45.3,13.7,25.4,3.1,11.4,653,515,407,7.46
Grains,Breakfast,49.0,74.3,27.9,0.9,40.8,546,211,178,6.14
Beverages,Dinner,26.7,36.3,32.6,7.9,9.0,639,883,569,8.09
Fruits,Dinner,18.1,54.5,12.0,0.4,8.2,287,884,115,2.7
Dairy,Breakfast,21.6,83.9,9.8,7.6,3.0,205,967,457,2.38
Vegetables,Dinner,24.8,38.9,28.9,6.6,12.7,74,239,512,6.81
Grains,Dinner,37.0,8.8,4.0,9.9,24.3,866,692,259,1.14
Meat,Breakfast,3.7,93.0,6.7,5.2,10.6,861,804,392,1.26
Dairy,Breakfast,27.4,56.2,32.3,8.8,29.7,178,954,398,6.88
Grains,Breakfast,10.9,15.0,21.6,1.1,18.8,341,204,304,5.01
Grains,Breakfast,45.6,83.8,32.4,5.3,6.5,749,707,479,7.97
Fruits,Snack,6.6,36.2,14.2,2.0,46.6,317,476,62,2.59
Meat,Dinner,24.6,25.2,39.1,4.4,13.9,678,926,431,9.74
Grains,Dinner,42.4,13.4,43.1,4.4,3.3,130,170,167,13.89
Grains,Dinner,39.3,71.0,25.3,8.2,11.4,968,641,333,5.91
Dairy,Dinner,46.2,97.4,19.9,7.1,27.9,649,585,434,4.24
Beverages,Dinner,41.6,44.0,4.3,2.1,5.0,69,430,374,1.17
Meat,Lunch,22.0,47.8,23.9,9.9,40.4,807,709,443,4.96
Meat,Snack,29.7,24.8,13.8,5.6,49.6,289,617,79,3.3
Vegetables,Breakfast,13.1,55.6,44.5,7.9,10.5,819,701,432,9.37
Beverages,Snack,40.8,73.2,18.5,4.6,42.8,228,940,592,3.95
Vegetables,Breakfast,35.9,94.1,27.7,0.9,22.8,937,863,207,5.79
Dairy,Snack,31.1,53.4,24.0,4.0,45.2,729,165,51,5.15
Vegetables,Snack,14.4,58.1,40.4,0.6,47.2,776,740,475,7.63
Fruits,Breakfast,35.2,88.1,49.6,9.1,6.7,342,932,353,11.67
Meat,Snack,14.4,74.2,16.0,6.9,1.2,905,307,101,4.08
Beverages,Dinner,23.0,57.0,13.4,7.9,0.6,746,170,402,3.78
Snacks,Snack,19.9,64.0,5.3,0.7,49.9,843,604,425,1.03
Fruits,Breakfast,8.1,35.9,5.4,5.6,13.4,100,164,251,1.1
Grains,Dinner,4.2,55.0,16.5,5.4,32.6,940,396,501,2.87
