Food Category,Meal Type,Calories,Protein,Carbs,Fat,Saturated Fat,Fiber,Sugar,Sodium,Water,calorie_level,protein_level,fiber_level,prot_ratio,carb_ratio,fat_ratio,fiber_per_100kcal,sugar_per_100kcal,density_kcal_100g,satiety_index,balance_score
chihuahua cheese,Breakfast,494.0,28.5,7.3,39.2,24.9,0.0,7.3,0.8,51.7,Élevé,Élevé,,0.23076923076923078,0.05910931174089069,0.71417004048583,0.0,1.477732793522267,4.94,4.864478114478114,0.7288998265312062
limburger cheese,Meal,98.0,6.0,0.1,8.2,5.0,0.0,0.1,0.2,14.5,Faible,Moyen,,0.24489795918367346,0.004081632653061225,0.7530612244897958,0.0,0.10204081632653061,0.98,3.381313131313131,0.7320431646587132
muenster cheese,Meal,486.0,30.9,1.5,39.7,25.2,0.0,1.5,0.8,55.1,Élevé,Élevé,,0.254320987654321,0.012345679012345678,0.7351851851851852,0.0,0.30864197530864196,4.86,5.6663822525597265,0.7332189439135143
queso fresco cheese,Snack,365.0,22.1,3.6,29.1,15.8,0.0,2.8,0.9,62.7,Élevé,Élevé,,0.24219178082191783,0.03945205479452055,0.7175342465753426,0.0,0.7671232876712328,3.65,5.246236559139785,0.7311871518817822
brie cheese,Lunch,100.0,6.2,0.1,8.3,5.2,0.0,0.1,0.2,14.5,Faible,Moyen,,0.248,0.004,0.747,0.0,0.1,1.0,3.4475000000000002,0.7326361862470452
pimento cheese,Lunch,525.0,31.0,2.4,43.7,27.5,0.1,0.9,2.0,54.7,Élevé,Élevé,Faible,0.2361904761904762,0.018285714285714284,0.7491428571428571,0.01904761904761905,0.17142857142857143,5.25,5.3671999999999995,0.7306123327408088
mexican cheese,Snack,316.0,27.7,3.8,21.7,13.0,0.0,0.6,0.9,54.0,Élevé,Élevé,,0.35063291139240504,0.04810126582278481,0.6180379746835443,0.0,0.18987341772151897,3.16,7.264423076923077,0.7455675929643588
feta cheese,Snack,80.0,4.3,1.2,6.4,4.0,0.0,0.0,0.3,16.6,Faible,Faible,,0.215,0.06,0.72,0.0,0.0,0.8,2.85,0.7275120520389825
mozzarella cheese fat free,Snack,159.0,35.8,4.0,0.0,0.0,2.0,1.7,0.8,68.0,Moyen,Élevé,Faible,0.90062893081761,0.10062893081761007,0.0,1.2578616352201257,1.069182389937107,1.59,15.555984555984557,0.8275953725530377
provolone cheese,Meal,463.0,33.8,2.8,35.1,22.5,0.0,0.7,1.2,54.1,Élevé,Élevé,,0.2920086393088553,0.024190064794816415,0.6822894168466523,0.0,0.1511879049676026,4.63,6.44671403197158,0.7385772266153253
anejo cheese,Breakfast,492.0,28.3,6.1,39.6,25.1,0.0,6.1,1.5,50.2,Élevé,Élevé,,0.23008130081300815,0.04959349593495935,0.7243902439024391,0.0,1.2398373983739837,4.92,4.895270270270271,0.728984683517183
honey,Breakfast,64.0,0.08,17.3,0.0,0.0,0.025,17.2,0.011,3.6,Faible,Faible,Faible,0.005,1.08125,0.0,0.0390625,26.875,0.64,-2.97560975609756,0.6735612920498688
apple butter,Meal,35.0,0.045,8.5,0.063,0.038,0.3,7.1,0.003,11.3,Faible,Faible,Faible,0.005142857142857143,0.9714285714285714,0.0162,0.8571428571428572,20.285714285714285,0.35,-0.948148148148148,0.684582869809796
fruit jam,Meal,56.0,0.0,13.8,0.095,0.021,0.2,9.7,0.052,6.1,Faible,,Faible,0.0,0.9857142857142858,0.015267857142857142,0.35714285714285715,17.32142857142857,0.56,-1.567307692307692,0.682098568333575
chocolate hazelnut spread,Meal,100.0,1.0,11.5,5.5,5.3,1.0,10.0,0.099,0.2,Faible,Faible,Faible,0.04,0.46,0.495,1.0,10.0,1.0,-0.595,0.6990801352984852
peanut butter,Breakfast,88.0,3.3,3.6,7.4,1.4,0.9,1.0,0.085,0.2,Faible,Faible,Faible,0.15,0.16363636363636364,0.756818181818182,1.0227272727272727,1.1363636363636365,0.88,1.9840425531914891,0.7168246716911756
peanut spread,Meal,101.0,3.8,2.2,8.5,1.6,1.2,0.5,0.028,0.3,Moyen,Faible,Faible,0.1504950495049505,0.08712871287128714,0.7574257425742574,1.188118811881188,0.49504950495049505,1.01,2.300995024875622,0.7225240519611358
chicken spread,Lunch,88.0,10.1,2.3,9.8,1.8,0.2,0.3,0.4,32.1,Faible,Moyen,Faible,0.45909090909090905,0.10454545454545454,1.0022727272727272,0.2272727272727273,0.3409090909090909,0.88,6.263297872340426,0.732855742212886
tahini,Lunch,86.0,2.7,3.9,7.2,1.0,1.4,0.0,0.098,0.5,Faible,Faible,Faible,0.12558139534883722,0.18139534883720929,0.7534883720930232,1.627906976744186,0.0,0.86,2.067204301075269,0.7162863854084909
orange marmalade,Lunch,49.0,0.014,13.3,0.0,0.0,0.1,12.0,0.016,6.6,Faible,Faible,Faible,0.001142857142857143,1.0857142857142859,0.0,0.20408163265306123,24.489795918367346,0.49,-2.1315436241610737,0.6741732285885432
american cheese spread,Meal,46.0,2.6,1.4,3.4,2.1,0.0,1.2,0.3,7.6,Faible,Faible,,0.22608695652173913,0.1217391304347826,0.6652173913043478,0.0,2.6086956521739126,0.46,1.7945205479452055,0.7266925683615574
apricot jam,Breakfast,48.0,0.1,12.9,0.01,0.042,0.044,8.7,0.004,6.9,Faible,Faible,Faible,0.008333333333333333,1.075,0.001875,0.09166666666666666,18.125,0.48,-1.439054054054054,0.6766008183549683
chunky peanut butter,Lunch,94.0,3.8,3.5,8.0,1.2,1.3,1.3,0.03,0.2,Faible,Faible,Faible,0.16170212765957445,0.14893617021276595,0.7659574468085106,1.3829787234042554,1.3829787234042554,0.94,2.2989690721649483,0.7196614988868729
ham and cheese spread,Snack,37.0,2.4,0.3,2.8,1.3,0.0,0.0,0.2,8.9,Faible,Faible,,0.2594594594594595,0.032432432432432434,0.681081081081081,0.0,0.0,0.37,2.076642335766423,0.7352395240956923
chicken and rice casserole homade,Snack,27.0,2.0,2.4,1.0,0.0,0.3,0.0,0.0,0.0,Faible,Faible,Faible,0.2962962962962963,0.35555555555555557,0.3333333333333333,1.111111111111111,0.0,0.27,1.7637795275590553,0.7399236544779262
picnic loaf,Breakfast,65.0,4.2,1.3,4.7,1.7,0.0,0.0,0.3,16.9,Faible,Faible,,0.25846153846153846,0.08,0.6507692307692309,0.0,0.0,0.65,3.0575757575757576,0.7336604233168325
corn tamale,Snack,309.0,5.8,44.3,12.0,4.4,5.3,12.3,0.5,101.8,Élevé,Moyen,Élevé,0.07508090614886731,0.573462783171521,0.34951456310679613,1.715210355987055,3.980582524271845,3.09,2.7970660146699267,0.7066851380090448
baked potato with cheese sauce bacon,Lunch,451.0,18.4,44.4,25.9,10.1,0.0,0.0,1.0,194.4,Élevé,Élevé,,0.16319290465631928,0.39379157427937916,0.5168514412416851,0.0,0.0,4.51,5.1034482758620685,0.711935025181306
chinese egg roll,Meal,223.0,7.4,24.3,10.6,1.9,2.3,0.0,0.4,45.0,Moyen,Moyen,Moyen,0.13273542600896862,0.4358744394618834,0.4278026905829596,1.0313901345291479,0.0,2.23,3.557275541795666,0.7150273362434751
butter croissant,Lunch,231.0,4.7,26.1,12.0,6.6,1.5,6.4,0.2,13.2,Moyen,Faible,Faible,0.0813852813852814,0.451948051948052,0.4675324675324675,0.6493506493506493,2.7705627705627704,2.31,1.4018126888217524,0.7052038050940453
enchilada with cheese beef,Breakfast,323.0,11.9,30.5,17.6,9.0,0.0,0.0,1.3,128.4,Élevé,Moyen,,0.1473684210526316,0.37770897832817335,0.4904024767801858,0.0,0.0,3.23,4.33096926713948,0.712898994334149
corned beef hash with potatoes,Snack,387.0,20.6,21.9,24.2,10.2,2.6,0.8,1.0,166.0,Élevé,Élevé,Moyen,0.2129198966408269,0.22635658914728682,0.5627906976744186,0.6718346253229974,0.20671834625323,3.87,6.31211498973306,0.7272553285797515
biscuit with egg cheese bacon,Breakfast,436.0,17.4,35.4,25.3,8.5,0.3,2.5,1.2,62.3,Élevé,Élevé,Faible,0.15963302752293576,0.3247706422018348,0.5222477064220183,0.06880733944954127,0.573394495412844,4.36,3.732276119402984,0.7158678911060894
bagel with ham egg cheese,Breakfast,483.0,26.7,52.4,18.5,7.9,0.4,7.0,1.3,88.7,Élevé,Élevé,Faible,0.22111801242236023,0.43395445134575567,0.3447204968944099,0.08281573498964803,1.4492753623188406,4.83,5.035162950257289,0.7232955803331024
quesadilla with chicken,Meal,529.0,27.1,43.3,27.5,11.1,3.1,3.4,1.3,76.7,Élevé,Élevé,Moyen,0.20491493383742912,0.3274102079395085,0.4678638941398866,0.5860113421550095,0.6427221172022685,5.29,5.150238473767885,0.7244943954906453
corn rice,Lunch,110.0,1.8,25.2,0.3,0.02,0.4,3.0,0.2,1.1,Moyen,Faible,Faible,0.06545454545454546,0.9163636363636364,0.024545454545454544,0.36363636363636365,2.727272727272727,1.1,0.6071428571428573,0.6956648202742947
kung pao chicken,Breakfast,779.0,59.0,41.5,42.2,8.2,9.1,18.3,2.4,451.7,Élevé,Élevé,Élevé,0.3029525032092426,0.21309370988446727,0.48754813863928115,1.1681643132220796,2.349165596919127,7.79,9.485210466439138,0.7413570844353986
beef empanada,Meal,298.0,10.1,27.8,16.3,4.6,1.8,1.6,0.4,33.4,Moyen,Moyen,Faible,0.13557046979865772,0.3731543624161074,0.49228187919463096,0.6040268456375839,0.5369127516778524,2.98,3.1984924623115574,0.7142169524456016
frijoles with cheese,Lunch,225.0,11.4,28.7,7.8,4.1,0.0,0.0,0.9,115.4,Moyen,Moyen,,0.20266666666666666,0.5102222222222222,0.312,0.0,0.0,2.25,5.283076923076924,0.7184976081246046
burrito with beef,Meal,285.0,9.1,43.9,8.1,1.7,4.4,4.1,0.5,65.8,Moyen,Moyen,Moyen,0.12771929824561404,0.616140350877193,0.2557894736842105,1.5438596491228072,1.43859649122807,2.85,3.812987012987013,0.7134502189812438
crispy chicken sandwich,Breakfast,350.0,14.8,33.2,17.6,3.3,0.0,3.9,0.7,57.9,Élevé,Moyen,,0.16914285714285715,0.37942857142857145,0.45257142857142857,0.0,1.1142857142857143,3.5,3.672222222222222,0.716385725712605
enchilada with cheese,Lunch,374.0,15.4,21.2,25.3,11.5,2.6,3.6,0.7,71.8,Élevé,Élevé,Moyen,0.16470588235294117,0.22673796791443848,0.6088235294117648,0.6951871657754011,0.9625668449197861,3.74,4.217299578059072,0.7204617293574929
pork egg roll,Snack,189.0,8.4,25.1,6.1,1.3,1.8,4.5,0.3,43.6,Moyen,Moyen,Faible,0.17777777777777778,0.5312169312169313,0.29047619047619044,0.9523809523809524,2.380952380952381,1.89,3.69204152249135,0.7190725680436609
corn on the cob with butter,Breakfast,155.0,4.5,31.9,3.4,1.6,0.0,0.0,0.056,105.2,Moyen,Faible,,0.11612903225806452,0.8232258064516129,0.19741935483870968,0.0,0.0,1.55,3.827450980392158,0.6966151427343942
pancakes with butter syrup,Meal,260.0,4.1,45.4,7.0,2.9,0.0,0.0,0.6,57.7,Moyen,Faible,,0.06307692307692307,0.6984615384615385,0.2423076923076923,0.0,0.0,2.6,1.9402777777777775,0.6975467285529302
burrito with beans,Meal,224.0,7.0,35.7,6.7,3.4,0.0,0.0,0.5,57.0,Moyen,Moyen,,0.125,0.6375000000000001,0.2691964285714286,0.0,0.0,2.24,3.040123456790123,0.705606241388198
scrambled eggs,Meal,100.0,6.5,1.0,7.6,2.9,0.0,0.8,0.1,31.3,Faible,Moyen,,0.26,0.04,0.6839999999999999,0.0,0.8,1.0,3.9124999999999996,0.7344507175626185
baked potato with sour cream,Meal,393.0,6.7,50.0,22.3,10.0,0.0,0.0,0.2,209.7,Élevé,Moyen,,0.06819338422391857,0.5089058524173028,0.5106870229007634,0.0,0.0,3.93,3.4858012170385395,0.6963976489433478
turkey and gravy,Breakfast,161.0,14.1,11.1,6.3,2.0,0.0,0.0,1.3,204.2,Moyen,Moyen,,0.35031055900621116,0.27577639751552796,0.3521739130434782,0.0,0.0,1.61,9.314176245210728,0.7446299350538663
chicken egg roll,Breakfast,158.0,8.4,22.8,3.6,0.8,1.9,4.5,0.4,43.3,Moyen,Moyen,Faible,0.21265822784810126,0.5772151898734177,0.2050632911392405,1.2025316455696202,2.848101265822785,1.58,4.160852713178295,0.7244589874480175
vegetable egg roll,Lunch,153.0,5.2,25.0,3.6,0.6,2.2,5.3,0.4,42.5,Moyen,Moyen,Moyen,0.13594771241830067,0.6535947712418301,0.21176470588235294,1.4379084967320261,3.464052287581699,1.53,2.9624505928853755,0.7131196600222205
ham cheese roll,Breakfast,67.0,3.8,1.1,5.2,2.0,0.0,0.0,0.3,16.9,Faible,Faible,,0.22686567164179103,0.06567164179104479,0.6985074626865673,0.0,0.0,0.67,2.7814371257485027,0.7293096090759048
biscuit with ham,Snack,386.0,13.4,43.8,18.4,11.4,0.8,2.2,1.1,32.1,Élevé,Moyen,Faible,0.138860103626943,0.45388601036269427,0.42901554404145076,0.2072538860103627,0.5699481865284974,3.86,3.083333333333334,0.7110573926504231
hummus,Meal,435.0,12.0,49.5,21.1,2.8,9.8,0.7,0.6,159.6,Élevé,Moyen,Élevé,0.1103448275862069,0.45517241379310347,0.43655172413793103,2.252873563218391,0.16091954022988506,4.35,5.160747663551402,0.7159857977901873
croissant with egg cheese,Breakfast,368.0,12.8,24.3,24.7,14.1,0.0,0.0,0.6,57.7,Élevé,Moyen,,0.1391304347826087,0.2641304347826087,0.6040760869565217,0.0,0.0,3.68,3.351495726495727,0.7136086086304638
enchirito with cheese beef beans,Snack,344.0,17.9,33.8,16.1,7.9,0.0,0.0,1.3,121.0,Élevé,Élevé,,0.20813953488372092,0.3930232558139535,0.42122093023255813,0.0,0.0,3.44,5.3941441441441444,0.7208925490821538
sweet sour pork,Lunch,38.0,1.2,3.3,2.2,0.4,0.1,1.4,0.003,7.1,Faible,Faible,Faible,0.12631578947368421,0.34736842105263155,0.5210526315789474,0.2631578947368421,3.6842105263157894,0.38,0.8804347826086958,0.7114549967538406
crab cake,Meal,160.0,11.3,5.1,10.4,2.2,0.2,0.0,0.5,32.0,Moyen,Moyen,Faible,0.28250000000000003,0.1275,0.5850000000000001,0.125,0.0,1.6,5.023076923076923,0.7366166545907149
egg dinner roll,Lunch,107.0,3.3,18.2,2.2,0.6,1.3,1.5,0.2,10.6,Moyen,Faible,Faible,0.1233644859813084,0.6803738317757009,0.18504672897196262,1.2149532710280373,1.4018691588785046,1.07,2.1352657004830915,0.7113211159386236
english muffin with egg cheese sausage,Meal,472.0,22.1,28.8,29.9,11.4,0.3,2.5,0.8,80.6,Élevé,Élevé,Faible,0.18728813559322036,0.2440677966101695,0.5701271186440677,0.0635593220338983,0.5296610169491526,4.72,4.479020979020979,0.7210416386882124
buttermilk pancakes,Breakfast,86.0,2.6,10.9,3.5,0.7,0.0,0.0,0.2,20.0,Faible,Faible,,0.12093023255813953,0.5069767441860465,0.36627906976744184,0.0,0.0,0.86,1.9354838709677422,0.7086193516807163
omelet,Snack,94.0,6.4,0.4,7.1,2.0,0.0,0.2,0.013,46.4,Faible,Moyen,,0.2723404255319149,0.01702127659574468,0.6797872340425531,0.0,0.21276595744680854,0.94,4.463917525773196,0.7373881158744935
taco with chicken cheese lettuce,Meal,185.0,13.0,19.3,6.2,2.5,1.2,1.3,0.6,57.3,Moyen,Moyen,Faible,0.2810810810810811,0.4172972972972973,0.30162162162162165,0.6486486486486486,0.7027027027027027,1.85,5.7666666666666675,0.7342863253079149
spinach souffle,Lunch,230.0,10.7,8.0,17.6,10.1,1.0,2.5,0.8,96.2,Moyen,Moyen,Faible,0.18608695652173912,0.1391304347826087,0.688695652173913,0.4347826086956522,1.0869565217391306,2.3,4.715151515151516,0.72285905149767
english muffin with egg cheese sausage,Meal,365.0,14.3,27.3,22.3,8.8,0.5,2.1,0.7,41.0,Élevé,Moyen,Faible,0.1567123287671233,0.2991780821917808,0.5498630136986302,0.136986301369863,0.5753424657534247,3.65,3.466666666666667,0.7160911475739449
potato gratin,Snack,328.0,12.4,27.6,18.6,11.6,4.4,0.0,1.1,181.3,Élevé,Moyen,Moyen,0.15121951219512195,0.33658536585365856,0.5103658536585366,1.3414634146341464,0.0,3.28,5.837616822429908,0.7199930606291223
biscuit with egg,Meal,436.0,17.4,35.4,25.3,8.5,0.3,2.5,1.2,62.3,Élevé,Élevé,Faible,0.15963302752293576,0.3247706422018348,0.5222477064220183,0.06880733944954127,0.573394495412844,4.36,3.732276119402984,0.7158678911060894
french fries deep fried,Meal,222.0,2.4,29.4,10.5,1.7,2.7,0.2,0.1,27.4,Moyen,Faible,Moyen,0.04324324324324324,0.5297297297297298,0.42567567567567566,1.2162162162162162,0.09009009009009009,2.22,1.8229813664596275,0.7018200062102123
sweet sour chicken,Snack,46.0,1.8,4.4,2.3,0.4,0.2,2.1,0.043,9.5,Faible,Faible,Faible,0.1565217391304348,0.3826086956521739,0.45,0.43478260869565216,4.565217391304348,0.46,1.2363013698630139,0.7159698327857567
burrito with beans beef,Meal,460.0,27.8,47.0,18.0,7.0,7.2,5.3,1.4,144.6,Élevé,Élevé,Élevé,0.24173913043478262,0.40869565217391307,0.3521739130434783,1.565217391304348,1.1521739130434783,4.6,7.000000000000001,0.7321317176510437
nachos with cinnamon sugar,Meal,592.0,7.2,63.4,36.0,18.2,0.0,0.0,0.4,1.1,Élevé,Moyen,,0.04864864864864865,0.4283783783783784,0.5472972972972973,0.0,0.0,5.92,1.0484104046242775,0.6979231730017263
arroz con grandules,Breakfast,209.0,4.0,35.4,5.7,0.9,1.6,0.0,0.7,67.7,Moyen,Faible,Faible,0.07655502392344497,0.6775119617224881,0.24545454545454548,0.7655502392344499,0.0,2.09,2.804207119741101,0.7028647396665015
chili con carne,Breakfast,271.0,14.7,33.1,8.8,3.2,8.3,4.7,1.1,191.5,Moyen,Moyen,Élevé,0.21697416974169742,0.48856088560885613,0.2922509225092251,3.0627306273062733,1.7343173431734318,2.71,7.952830188679245,0.7334686205239833
arroz con abichuelas,Breakfast,223.0,6.2,37.3,5.4,0.8,4.1,0.2,0.6,105.6,Moyen,Moyen,Moyen,0.11121076233183856,0.6690582959641255,0.2179372197309417,1.8385650224215244,0.08968609865470853,2.23,4.5510835913312695,0.7120017803329632
biscuit with sausage,Lunch,412.0,10.7,33.3,27.1,8.2,0.4,1.8,0.9,36.4,Élevé,Moyen,Faible,0.10388349514563106,0.3233009708737864,0.591990291262136,0.0970873786407767,0.4368932038834951,4.12,2.40234375,0.7075535722500548
vegetarian stew,Snack,304.0,42.0,17.3,7.4,1.2,2.7,3.1,1.0,172.9,Élevé,Élevé,Moyen,0.5526315789473685,0.22763157894736843,0.21907894736842107,0.8881578947368421,1.0197368421052633,3.04,12.840346534653465,0.7757504725762309
chicken sandwich with cheese,Snack,632.0,29.4,41.6,38.8,12.4,0.0,0.0,1.2,104.9,Élevé,Élevé,,0.1860759493670886,0.26329113924050634,0.5525316455696202,0.0,0.0,6.32,4.732923497267759,0.7204960691710031
biscuit with egg steak,Meal,410.0,17.9,21.3,28.4,8.6,0.0,0.0,0.9,77.7,Élevé,Élevé,,0.1746341463414634,0.2078048780487805,0.6234146341463415,0.0,0.0,4.1,4.27156862745098,0.7193946579967105
taco salad,Snack,212.0,10.0,17.9,11.2,5.2,0.0,0.0,0.6,108.5,Moyen,Moyen,,0.18867924528301888,0.33773584905660375,0.47547169811320755,0.0,0.0,2.12,4.943910256410256,0.7199113212758349
succotash,Lunch,213.0,9.7,46.8,1.5,0.3,0.0,0.0,0.5,131.3,Moyen,Moyen,,0.18215962441314554,0.8788732394366197,0.06338028169014084,0.0,0.0,2.13,5.196485623003195,0.7058172862189005
nachos with cheese jalapeno peppers,Lunch,608.0,16.8,60.1,34.1,14.0,0.0,0.0,1.7,87.1,Élevé,Élevé,,0.1105263157894737,0.3953947368421053,0.5047697368421054,0.0,0.0,6.08,2.987994350282486,0.7077391755831428
biscuit with egg ham,Meal,442.0,20.4,31.4,27.0,5.9,0.8,4.2,1.4,108.7,Élevé,Élevé,Faible,0.1846153846153846,0.2841628959276018,0.5497737556561086,0.1809954751131222,0.9502262443438915,4.42,4.652214022140221,0.7196238538767529
ladyfingers,Snack,103.0,3.0,16.9,2.6,0.9,0.3,7.2,0.016,5.5,Moyen,Faible,Faible,0.11650485436893204,0.6563106796116505,0.2271844660194175,0.2912621359223301,6.990291262135922,1.03,0.667487684729064,0.7051219563752266
mozzarella steak fried,Breakfast,102.0,4.6,7.7,5.9,2.2,0.6,0.7,0.2,11.8,Moyen,Faible,Faible,0.1803921568627451,0.30196078431372547,0.5205882352941177,0.5882352941176471,0.6862745098039215,1.02,2.702970297029703,0.7212293438453894
tamale navajo,Meal,285.0,11.7,33.7,11.4,4.5,5.8,1.8,0.8,126.7,Moyen,Moyen,Élevé,0.16421052631578947,0.4729824561403509,0.36000000000000004,2.0350877192982453,0.631578947368421,2.85,5.749350649350649,0.7226237575818444
blueberry pancakes,Lunch,84.0,2.3,11.0,3.5,0.8,0.0,0.0,0.2,20.2,Faible,Faible,,0.10952380952380951,0.5238095238095238,0.375,0.0,0.0,0.84,1.7989130434782608,0.7060778248119302
