Food Category,Meal Type,Calories,Protein,Carbs,Fat,Saturated Fat,Fiber,Sugar,Sodium,Water
asadero cheese,Meal,402.0,25.5,3.2,31.9,20.3,0.0,3.2,0.7,47.6
camembert cheese,Meal,90.0,5.9,0.1,7.3,4.6,0.0,0.1,0.3,15.5
provolone cheese reduced fat,Meal,310.0,27.9,4.0,19.9,12.8,0.0,0.6,1.0,57.2
roquefort cheese,Lunch,314.0,18.3,1.7,26.0,16.4,0.0,0.0,1.5,33.5
queso blanco cheese,Lunch,366.0,24.0,3.0,28.7,16.1,0.0,2.1,0.8,57.5
queso seco cheese,Snack,315.0,23.8,2.0,23.6,13.3,0.0,0.5,1.8,40.9
goat cheese soft,Lunch,75.0,5.2,0.0,6.0,4.1,0.0,0.3,0.1,17.2
mozzarella cheese,Snack,90.0,6.7,0.7,6.6,4.2,0.0,0.0,0.1,15.0
chihuahua cheese,Breakfast,494.0,28.5,7.3,39.2,24.9,0.0,7.3,0.8,51.7
limburger cheese,Meal,98.0,6.0,0.1,8.2,5.0,0.0,0.1,0.2,14.5
muenster cheese,Meal,486.0,30.9,1.5,39.7,25.2,0.0,1.5,0.8,55.1
queso fresco cheese,Snack,365.0,22.1,3.6,29.1,15.8,0.0,2.8,0.9,62.7
brie cheese,Lunch,100.0,6.2,0.1,8.3,5.2,0.0,0.1,0.2,14.5
pimento cheese,Lunch,525.0,31.0,2.4,43.7,27.5,0.1,0.9,2.0,54.7
mexican cheese,Snack,316.0,27.7,3.8,21.7,13.0,0.0,0.6,0.9,54.0
feta cheese,Snack,80.0,4.3,1.2,6.4,4.0,0.0,0.0,0.3,16.6
mozzarella cheese fat free,Snack,159.0,35.8,4.0,0.0,0.0,2.0,1.7,0.8,68.0
provolone cheese,Meal,463.0,33.8,2.8,35.1,22.5,0.0,0.7,1.2,54.1
anejo cheese,Breakfast,492.0,28.3,6.1,39.6,25.1,0.0,6.1,1.5,50.2
honey,Breakfast,64.0,0.08,17.3,0.0,0.0,0.025,17.2,0.011,3.6
apple butter,Meal,35.0,0.045,8.5,0.063,0.038,0.3,7.1,0.003,11.3
fruit jam,Meal,56.0,0.0,13.8,0.095,0.021,0.2,9.7,0.052,6.1
chocolate hazelnut spread,Meal,100.0,1.0,11.5,5.5,5.3,1.0,10.0,0.099,0.2
peanut butter,Breakfast,88.0,3.3,3.6,7.4,1.4,0.9,1.0,0.085,0.2
peanut spread,Meal,101.0,3.8,2.2,8.5,1.6,1.2,0.5,0.028,0.3
chicken spread,Lunch,88.0,10.1,2.3,9.8,1.8,0.2,0.3,0.4,32.1
cheese spread,Snack,708.0,17.0,8.4,68.6,43.2,0.0,8.4,1.2,140.4
tahini,Lunch,86.0,2.7,3.9,7.2,1.0,1.4,0.0,0.098,0.5
orange marmalade,Lunch,49.0,0.014,13.3,0.0,0.0,0.1,12.0,0.016,6.6
american cheese spread,Meal,46.0,2.6,1.4,3.4,2.1,0.0,1.2,0.3,7.6
apricot jam,Breakfast,48.0,0.1,12.9,0.01,0.042,0.044,8.7,0.004,6.9
chunky peanut butter,Lunch,94.0,3.8,3.5,8.0,1.2,1.3,1.3,0.03,0.2
ham and cheese spread,Snack,37.0,2.4,0.3,2.8,1.3,0.0,0.0,0.2,8.9
chicken and rice casserole homade,Snack,27.0,2.0,2.4,1.0,0.0,0.3,0.0,0.0,0.0
picnic loaf,Breakfast,65.0,4.2,1.3,4.7,1.7,0.0,0.0,0.3,16.9
corn tamale,Snack,309.0,5.8,44.3,12.0,4.4,5.3,12.3,0.5,101.8
baked potato with cheese sauce bacon,Lunch,451.0,18.4,44.4,25.9,10.1,0.0,0.0,1.0,194.4
chinese egg roll,Meal,223.0,7.4,24.3,10.6,1.9,2.3,0.0,0.4,45.0
butter croissant,Lunch,231.0,4.7,26.1,12.0,6.6,1.5,6.4,0.2,13.2
enchilada with cheese beef,Breakfast,323.0,11.9,30.5,17.6,9.0,0.0,0.0,1.3,128.4
corned beef hash with potatoes,Snack,387.0,20.6,21.9,24.2,10.2,2.6,0.8,1.0,166.0
biscuit with egg cheese bacon,Breakfast,436.0,17.4,35.4,25.3,8.5,0.3,2.5,1.2,62.3
bagel with ham egg cheese,Breakfast,483.0,26.7,52.4,18.5,7.9,0.4,7.0,1.3,88.7
quesadilla with chicken,Meal,529.0,27.1,43.3,27.5,11.1,3.1,3.4,1.3,76.7
corn rice,Lunch,110.0,1.8,25.2,0.3,0.02,0.4,3.0,0.2,1.1
kung pao chicken,Breakfast,779.0,59.0,41.5,42.2,8.2,9.1,18.3,2.4,451.7
beef empanada,Meal,298.0,10.1,27.8,16.3,4.6,1.8,1.6,0.4,33.4
frijoles with cheese,Lunch,225.0,11.4,28.7,7.8,4.1,0.0,0.0,0.9,115.4
burrito with beef,Meal,285.0,9.1,43.9,8.1,1.7,4.4,4.1,0.5,65.8
crispy chicken sandwich,Breakfast,350.0,14.8,33.2,17.6,3.3,0.0,3.9,0.7,57.9
enchilada with cheese,Lunch,374.0,15.4,21.2,25.3,11.5,2.6,3.6,0.7,71.8
pork egg roll,Snack,189.0,8.4,25.1,6.1,1.3,1.8,4.5,0.3,43.6
corn on the cob with butter,Breakfast,155.0,4.5,31.9,3.4,1.6,0.0,0.0,0.056,105.2
pancakes with butter syrup,Meal,260.0,4.1,45.4,7.0,2.9,0.0,0.0,0.6,57.7
burrito with beans,Meal,224.0,7.0,35.7,6.7,3.4,0.0,0.0,0.5,57.0
scrambled eggs,Meal,100.0,6.5,1.0,7.6,2.9,0.0,0.8,0.1,31.3
baked potato with sour cream,Meal,393.0,6.7,50.0,22.3,10.0,0.0,0.0,0.2,209.7
turkey and gravy,Breakfast,161.0,14.1,11.1,6.3,2.0,0.0,0.0,1.3,204.2
chicken egg roll,Breakfast,158.0,8.4,22.8,3.6,0.8,1.9,4.5,0.4,43.3
vegetable egg roll,Lunch,153.0,5.2,25.0,3.6,0.6,2.2,5.3,0.4,42.5
ham cheese roll,Breakfast,67.0,3.8,1.1,5.2,2.0,0.0,0.0,0.3,16.9
biscuit with ham,Snack,386.0,13.4,43.8,18.4,11.4,0.8,2.2,1.1,32.1
lemon chicken,Meal,1440.0,68.6,122.0,74.9,12.2,7.0,55.2,1.5,363.6
hummus,Meal,435.0,12.0,49.5,21.1,2.8,9.8,0.7,0.6,159.6
croissant with egg cheese,Breakfast,368.0,12.8,24.3,24.7,14.1,0.0,0.0,0.6,57.7
enchirito with cheese beef beans,Snack,344.0,17.9,33.8,16.1,7.9,0.0,0.0,1.3,121.0
sweet sour pork,Lunch,38.0,1.2,3.3,2.2,0.4,0.1,1.4,0.003,7.1
crab cake,Meal,160.0,11.3,5.1,10.4,2.2,0.2,0.0,0.5,32.0
egg dinner roll,Lunch,107.0,3.3,18.2,2.2,0.6,1.3,1.5,0.2,10.6
english muffin with egg cheese sausage,Meal,472.0,22.1,28.8,29.9,11.4,0.3,2.5,0.8,80.6
buttermilk pancakes,Breakfast,86.0,2.6,10.9,3.5,0.7,0.0,0.0,0.2,20.0
omelet,Snack,94.0,6.4,0.4,7.1,2.0,0.0,0.2,0.013,46.4
taco with chicken cheese lettuce,Meal,185.0,13.0,19.3,6.2,2.5,1.2,1.3,0.6,57.3
spinach souffle,Lunch,230.0,10.7,8.0,17.6,10.1,1.0,2.5,0.8,96.2
english muffin with egg cheese sausage,Meal,365.0,14.3,27.3,22.3,8.8,0.5,2.1,0.7,41.0
potato gratin,Snack,328.0,12.4,27.6,18.6,11.6,4.4,0.0,1.1,181.3
biscuit with egg,Meal,436.0,17.4,35.4,25.3,8.5,0.3,2.5,1.2,62.3
french fries deep fried,Meal,222.0,2.4,29.4,10.5,1.7,2.7,0.2,0.1,27.4
sweet sour chicken,Snack,46.0,1.8,4.4,2.3,0.4,0.2,2.1,0.043,9.5
burrito with beans beef,Meal,460.0,27.8,47.0,18.0,7.0,7.2,5.3,1.4,144.6
nachos with cinnamon sugar,Meal,592.0,7.2,63.4,36.0,18.2,0.0,0.0,0.4,1.1
arroz con grandules,Breakfast,209.0,4.0,35.4,5.7,0.9,1.6,0.0,0.7,67.7
chili con carne,Breakfast,271.0,14.7,33.1,8.8,3.2,8.3,4.7,1.1,191.5
arroz con abichuelas,Breakfast,223.0,6.2,37.3,5.4,0.8,4.1,0.2,0.6,105.6
biscuit with sausage,Lunch,412.0,10.7,33.3,27.1,8.2,0.4,1.8,0.9,36.4
vegetarian stew,Snack,304.0,42.0,17.3,7.4,1.2,2.7,3.1,1.0,172.9
chicken sandwich with cheese,Snack,632.0,29.4,41.6,38.8,12.4,0.0,0.0,1.2,104.9
biscuit with egg steak,Meal,410.0,17.9,21.3,28.4,8.6,0.0,0.0,0.9,77.7
taco salad,Snack,212.0,10.0,17.9,11.2,5.2,0.0,0.0,0.6,108.5
succotash,Lunch,213.0,9.7,46.8,1.5,0.3,0.0,0.0,0.5,131.3
nachos with cheese jalapeno peppers,Lunch,608.0,16.8,60.1,34.1,14.0,0.0,0.0,1.7,87.1
biscuit with egg ham,Meal,442.0,20.4,31.4,27.0,5.9,0.8,4.2,1.4,108.7
ladyfingers,Snack,103.0,3.0,16.9,2.6,0.9,0.3,7.2,0.016,5.5
mozzarella steak fried,Breakfast,102.0,4.6,7.7,5.9,2.2,0.6,0.7,0.2,11.8
tamale navajo,Meal,285.0,11.7,33.7,11.4,4.5,5.8,1.8,0.8,126.7
blueberry pancakes,Lunch,84.0,2.3,11.0,3.5,0.8,0.0,0.0,0.2,20.2
chimichanga with beef cheese,Snack,443.0,20.1,39.3,23.4,11.2,0.0,0.0,1.0,96.4
egg cheese sandwich,Meal,340.0,15.6,25.9,19.4,6.6,0.0,0.0,0.8,82.2
biscuit with egg bacon,Breakfast,458.0,17.0,28.6,31.1,8.0,0.8,3.3,1.3,70.0
pupusas con queso,Breakfast,300.0,13.7,26.2,15.5,7.6,3.4,1.4,0.5,58.9
apple croissant,Snack,145.0,4.2,21.1,5.0,2.8,1.4,0.0,0.2,26.0
refried red beans,Breakfast,336.0,11.7,36.0,16.1,2.2,11.0,0.0,0.9,164.8
tostada with guacamole,Meal,180.0,6.2,16.0,11.6,4.9,0.0,0.0,0.4,94.6
chicken sandwich,Meal,468.0,30.4,39.1,20.9,4.0,2.6,6.8,1.4,91.5
fried rice,Snack,228.0,6.5,43.4,3.2,0.7,1.5,0.6,0.6,85.4
pupusas del cerdo,Snack,283.0,14.0,28.1,12.7,3.9,3.2,1.8,0.5,64.8
turkey pot pie,Breakfast,699.0,25.8,70.3,34.9,11.4,4.4,0.0,1.4,260.8
cheese croissant,Meal,331.0,7.4,37.6,16.7,8.5,2.1,9.1,0.3,16.8
chimichanga with beef,Meal,425.0,19.6,42.8,19.7,8.5,0.0,0.0,0.9,88.2
french toast with butter,Breakfast,178.0,5.2,18.0,9.4,3.9,0.0,0.0,0.3,34.2
egg cheese sandwich,Snack,347.0,19.2,30.9,16.3,7.4,0.0,0.0,1.0,73.1
english muffin with butter,Meal,189.0,4.9,30.4,5.8,2.4,0.0,0.0,0.4,20.6
savoury noodle one pan dinner tandaco,Lunch,172.0,0.0,5.5,1.2,0.5,0.0,0.0,0.0,0.0
ham cheese sandwich,Lunch,352.0,20.7,33.3,15.5,6.4,0.0,0.0,0.8,74.2
sweet gefilte fish,Snack,35.0,3.8,3.1,0.7,0.2,0.0,0.0,0.2,33.7
poached egg,Breakfast,72.0,6.3,0.4,4.7,1.6,0.0,0.2,0.1,37.9
tostada with beef cheese,Breakfast,315.0,19.0,22.8,16.3,10.4,0.0,0.0,0.9,101.1
tostada with beef cheese,Breakfast,223.0,9.6,26.5,9.9,5.4,0.0,0.0,0.5,95.4
pork tamale,Snack,247.0,10.4,22.4,12.8,3.8,3.4,0.7,0.7,93.8
nachos with cheese,Snack,274.0,3.5,27.9,17.2,1.7,2.6,1.7,0.3,29.9
pulled pork in barbecue sauce,Snack,418.0,32.8,46.7,11.0,3.5,3.0,37.8,1.7,151.9
baked potato with cheese sauce bacon,Meal,474.0,14.6,46.5,28.7,10.6,0.0,0.0,0.4,194.6
baked beans,Meal,310.0,11.1,43.3,10.3,3.9,11.0,0.0,0.8,130.3
arroz con frijoles,Meal,220.0,6.8,35.6,5.6,1.1,5.0,1.3,0.6,95.6
taco with beef cheese lettuce,Breakfast,156.0,6.1,13.7,8.8,3.0,2.7,0.6,0.3,39.3
burrito with beans cheese beef,Breakfast,165.0,7.3,19.8,6.6,3.6,0.0,0.0,0.5,65.9
egg mix,Snack,30.0,2.4,0.098,2.2,0.8,0.0,0.091,0.012,0.1
falafel,Lunch,57.0,2.3,5.4,3.0,0.4,0.0,0.0,0.081,5.9
taco salad with chili con carne,Snack,193.0,11.6,17.7,8.8,4.0,0.0,0.0,0.6,133.6
wonton wrappers,Lunch,93.0,3.1,18.5,0.5,0.022,0.6,0.0,0.2,9.2
hushpuppies,Meal,512.0,11.7,69.9,20.5,3.2,4.3,3.1,1.0,44.1
chicken pot pie,Lunch,598.0,14.6,57.3,34.6,12.6,3.0,7.2,1.2,191.6
general tsos chicken,Meal,1578.0,69.0,128.3,87.5,14.8,4.8,62.1,2.3,241.6
burrito with beans cheese beef,Breakfast,379.0,13.6,57.8,11.2,4.3,7.8,3.2,1.0,98.4
vegetarian fillets,Snack,247.0,19.6,7.7,15.3,2.4,5.2,0.7,0.4,38.3
biscuit with sausage,Lunch,505.0,18.0,34.1,33.6,10.4,0.3,1.5,1.1,72.1
chicken chow mein,Snack,513.0,40.8,50.1,16.9,3.0,6.0,10.5,1.9,489.3
fruit burrito,Breakfast,231.0,2.5,35.0,9.5,4.6,0.0,0.0,0.2,26.4
arroz con leche,Meal,369.0,8.1,63.0,9.3,4.8,1.3,38.6,0.3,170.5
caramel custard flan,Snack,444.0,13.9,69.7,12.3,5.5,0.0,70.8,0.2,208.2
gelatin dessert,Meal,167.0,3.3,38.3,0.0,0.0,0.0,36.4,0.2,227.9
chocolate milk dessert,Breakfast,229.0,5.9,51.6,1.4,0.8,0.0,51.6,0.1,76.7
chocolate mousse,Lunch,338.0,6.2,24.1,24.0,13.7,0.9,22.2,0.081,94.4
dulce de leche,Meal,60.0,1.3,10.5,1.4,0.9,0.0,9.5,0.036,5.5
apple crisp,Lunch,454.0,4.9,87.0,9.7,1.9,3.9,55.5,1.0,177.4
spinach spaghetti cooked,Snack,182.0,6.4,36.6,0.9,0.1,0.0,0.0,0.061,95.4
corn pasta cooked,Lunch,176.0,3.7,39.1,1.0,0.1,6.7,0.0,0.0,95.6
spaghetti with meat sauce,Snack,255.0,14.3,43.1,2.9,1.0,5.1,7.4,0.7,220.2
pasta with meatballs in tomato sauce,Snack,273.0,10.6,28.3,13.0,5.0,6.9,7.2,0.7,199.5
cheese tortellini,Snack,332.0,14.6,50.8,7.8,3.9,2.1,1.0,0.4,32.9
pasta with sliced franks in tomato sauce,Snack,227.0,11.0,32.0,6.0,2.5,4.0,8.0,0.7,197.1
lasagna,Lunch,166.0,9.0,18.9,6.1,2.9,2.1,3.8,0.5,87.2
macaroni cheese,Lunch,310.0,12.6,43.7,9.4,3.1,2.3,3.0,0.9,120.2
vegetable lasagna,Meal,316.0,15.6,32.2,13.7,5.5,4.3,5.8,1.0,161.7
spinach egg noodles cooked,Lunch,211.0,8.1,38.8,2.5,0.6,3.7,1.1,0.068,109.6
cheese lasagna,Snack,316.0,15.9,33.6,13.0,5.1,4.1,10.3,0.7,176.9
pasta with tomato sauce,Breakfast,176.0,5.6,35.1,1.8,0.4,2.3,10.1,1.0,207.0
spinach pasta cooked,Breakfast,37.0,1.4,7.1,0.3,0.078,0.0,0.0,0.004,19.4
vegetable chicken soup,Breakfast,166.0,12.3,21.1,4.8,1.4,1.0,3.4,0.075,201.0
bean ham soup,Meal,198.0,10.3,33.5,2.5,0.6,9.8,7.8,0.5,195.8
cream of chicken soup,Breakfast,227.0,6.0,18.0,14.5,4.3,0.0,1.4,1.8,208.5
tomato soup canned,Lunch,139.0,6.3,22.6,3.3,1.8,1.5,16.5,0.5,216.7
egg drop soup,Lunch,65.0,2.8,10.3,1.5,0.4,1.0,0.2,0.9,223.8
scotch broth,Snack,197.0,12.1,23.0,6.4,2.7,3.0,0.0,2.1,249.7
cream of onion soup,Snack,268.0,6.7,31.7,12.8,3.6,1.2,11.1,1.9,247.1
chicken broth dry,Meal,10.0,0.7,1.1,0.2,0.055,0.0,0.0,1.2,0.1
vegetable soup with beef broth,Snack,162.0,6.0,26.3,3.8,0.9,3.2,4.0,1.3,204.8
chili with beans canned,Snack,287.0,14.6,30.5,14.1,6.0,11.3,3.0,1.3,193.3
beef noodle soup,Snack,168.0,9.6,17.9,6.2,2.3,1.5,5.2,1.6,211.1
consomme dry,Lunch,17.0,2.2,1.9,0.2,0.0,0.0,1.1,0.8,235.9
chicken mushroom soup,Lunch,126.0,2.0,15.1,6.1,1.6,4.0,1.0,0.8,101.3
beef vegetable soup,Meal,120.0,8.0,15.4,2.9,1.0,3.0,3.1,0.8,220.6
black bean soup,Breakfast,234.0,12.4,39.6,3.4,0.9,17.5,6.4,2.5,193.6
split pea soup with ham bacon,Snack,189.0,11.6,28.6,3.1,0.9,4.1,0.0,1.0,88.3
cream of mushroom soup,Meal,199.0,3.4,17.1,13.4,2.4,1.8,1.0,1.7,213.4
green pea soup,Meal,320.0,16.7,51.7,5.7,2.7,10.0,16.7,1.7,175.5
chicken broth soup,Meal,78.0,11.1,1.9,2.6,0.8,0.0,0.9,1.6,231.7
chicken mushroom chowder soup,Breakfast,431.0,16.2,38.3,23.7,6.2,7.5,0.0,1.8,453.8
chicken dumplings soup,Breakfast,235.0,13.6,14.7,13.4,3.2,1.2,1.4,1.8,249.8
chicken vegetable soup,Lunch,148.0,7.1,17.0,5.6,1.7,1.7,3.0,1.7,207.0
turkey vegetable soup,Snack,72.0,3.1,8.6,3.0,0.9,0.5,2.6,0.9,223.9
wonton soup,Snack,71.0,4.6,11.7,0.6,0.1,0.4,0.8,0.9,203.3
beef stock,Snack,31.0,4.7,2.9,0.2,0.003,0.0,1.3,0.5,230.1
mushroom barley soup,Meal,186.0,4.6,29.3,5.5,1.1,0.0,0.0,1.7,258.9
gazpacho soup,Lunch,70.0,10.7,6.6,0.4,0.008,0.7,2.2,1.1,346.0
beef mushroom soup,Snack,186.0,14.0,15.9,7.3,3.7,0.6,0.0,2.2,260.8
chicken rice soup,Meal,127.0,12.3,13.0,3.2,1.0,1.0,1.4,0.9,208.3
pepperpot soup,Breakfast,100.0,6.2,9.1,4.5,2.0,0.5,0.0,0.9,219.8
vegetable soup,Meal,149.0,4.3,24.6,4.0,0.6,1.3,7.9,1.3,214.0
chili beef soup,Snack,308.0,13.4,49.6,6.7,3.3,6.6,13.4,2.1,186.4
chicken soup,Breakfast,174.0,12.4,16.9,6.5,1.9,1.5,2.1,0.9,206.1
bean with frankfurters soup,Lunch,188.0,10.0,22.0,7.0,2.1,0.0,0.0,1.1,207.6
pea soup,Lunch,161.0,8.3,25.6,2.8,1.4,4.9,8.3,0.015,219.0
turkey soup,Snack,135.0,10.2,14.1,4.4,1.2,0.0,0.0,0.9,203.8
stockpot soup,Snack,201.0,9.8,23.1,7.8,1.7,0.0,0.0,2.1,211.3
hot sour soup,Snack,91.0,6.0,10.1,2.8,0.5,1.2,1.0,0.9,211.2
cheese soup,Meal,203.0,2.0,28.0,9.7,6.1,5.5,9.3,1.7,202.6
cream of potato soup,Breakfast,186.0,3.8,32.2,4.7,2.4,3.3,3.6,1.5,215.2
bean with bacon soup,Breakfast,106.0,5.5,16.4,2.1,1.0,9.0,0.6,0.9,237.8
fish stock,Meal,40.0,5.3,0.0,1.9,0.5,0.0,0.0,0.4,225.9
split pea soup with ham,Lunch,381.0,20.7,56.2,8.9,3.5,4.6,0.0,1.7,177.3
beef broth soup,Snack,17.0,2.7,0.01,0.5,0.3,0.0,0.0,0.9,234.1
lentil soup with ham,Lunch,139.0,9.3,20.2,2.8,1.1,0.0,0.0,1.3,212.7
tomato soup,Lunch,98.0,2.2,22.5,0.7,0.2,1.6,12.2,0.6,119.6
fish broth,Lunch,39.0,4.9,1.0,1.5,0.3,0.0,0.2,0.5,234.2
chili with beans canned,Breakfast,283.0,18.1,14.6,17.0,5.4,0.0,0.0,0.9,186.4
minestrone soup,Snack,167.0,8.6,22.6,5.0,1.1,2.0,3.7,1.3,204.1
clam chowder soup,Snack,154.0,4.4,24.5,4.4,0.8,3.0,6.8,1.8,212.4
tomato vegetable soup,Snack,54.0,1.9,9.9,0.8,0.4,0.7,2.4,0.3,230.9
cream of rice coup,Lunch,127.0,2.2,28.1,0.2,0.07,0.2,0.022,0.4,213.5
cream of celery soup,Lunch,181.0,3.3,17.7,11.2,2.8,1.5,3.4,1.3,214.1
chicken gravy,Lunch,188.0,4.6,12.9,13.6,3.4,1.0,1.9,1.0,203.1
tomato rice soup,Meal,240.0,4.2,44.1,5.5,1.0,3.4,15.2,1.6,199.0
vegetable beef soup,Lunch,128.0,18.1,9.6,2.0,0.6,4.4,0.0,1.1,258.7
tomato beef noodle soup,Meal,281.0,8.9,42.3,8.6,3.2,3.0,0.0,1.8,185.9
oyster stew soup,Snack,118.0,4.2,8.2,7.7,5.0,0.0,0.0,1.8,221.1
ramen noodle soup dry,Lunch,371.0,8.9,53.9,13.3,6.4,2.0,1.3,1.7,4.2
chicken noodle soup,Snack,145.0,7.2,18.4,4.7,1.2,2.7,0.0,2.1,267.2
chicken bouillon dry,Lunch,11.0,0.7,0.7,0.6,0.1,0.0,0.7,1.0,0.043
cream of asparagus soup,Snack,174.0,4.6,21.5,8.2,2.1,1.0,1.8,1.7,211.8
turkey noodle soup,Breakfast,139.0,7.8,17.3,4.0,1.1,1.5,1.0,1.6,217.7
cream of shrimp soup,Snack,181.0,5.6,16.5,10.4,6.5,0.5,0.0,1.7,213.8
bean with pork soup,Meal,335.0,15.3,44.1,11.5,3.0,15.3,7.8,1.7,182.4
chicken broth,Snack,12.0,1.0,1.0,0.5,0.008,0.0,0.0,0.9,229.8
beef broth powder,Meal,8.0,0.6,0.6,0.3,0.2,0.0,0.6,0.9,0.1
split pea soup,Meal,180.0,9.7,29.9,2.3,0.8,4.8,12.8,0.4,208.5
escarole soup,Snack,61.0,3.4,4.0,4.0,1.2,0.0,0.0,2.3,535.8
chicken stock,Snack,86.0,6.0,8.5,2.9,0.8,0.0,3.8,0.3,221.2
tomato bisque soup,Breakfast,248.0,4.5,47.7,5.0,1.1,2.1,0.0,1.8,194.3
shark fin soup,Lunch,99.0,6.9,8.2,4.3,1.1,0.0,0.0,1.1,194.7
onion soup,Meal,113.0,7.5,16.4,3.5,0.5,1.7,6.7,1.3,212.4
chicken gumbo soup,Meal,113.0,5.3,16.8,2.9,0.7,4.0,4.9,1.7,221.8
crab soup,Meal,95.0,10.4,12.5,0.8,0.2,2.4,0.0,0.6,217.4
tripe soup,Lunch,148.0,17.2,8.1,5.2,2.1,0.0,0.0,0.8,166.8
little india little lunch,Lunch,164.0,0.0,2.0,10.6,15.6,0.0,0.0,0.0,0.0
original chicken sandwich chick fil a,Lunch,125.0,0.0,0.0,5.1,11.6,0.0,0.0,0.0,0.0
sausage mcmuffin mcdonalds,Lunch,383.0,14.6,28.2,24.2,8.3,1.6,2.2,0.8,44.8
sausage mcgriddles mcdonalds,Breakfast,421.0,11.4,42.2,24.0,7.3,1.4,15.2,1.0,54.1
crispy chicken drumstick kentucky fried chicken,Lunch,70.0,10.6,0.0,3.0,0.8,0.0,0.0,0.2,26.6
chicken crispy drumsticks kentucky fried chicken,Snack,156.0,11.8,4.5,10.1,2.2,0.0,0.0,0.4,29.3
biscuit kentucky fried chicken,Meal,185.0,3.8,22.1,9.1,2.2,0.8,1.7,0.5,15.1
english muffin mcdonalds,Meal,97.0,5.7,2.9,2.3,1.1,0.2,1.5,0.031,0.0
french fries mcdonalds,Lunch,378.0,4.0,49.8,18.1,2.7,4.6,0.2,0.2,42.9
hotdog,Breakfast,383.0,16.4,28.5,23.0,8.1,0.0,0.0,1.1,83.6
french fries burger king,Snack,207.0,2.4,28.6,9.2,1.6,2.1,0.4,0.2,32.5
original taco with beef cheese lettuce taco bell,Meal,158.0,6.1,13.7,8.8,3.0,2.7,0.6,0.3,39.3
hotdog with chili,Snack,296.0,13.5,31.3,13.4,4.9,0.0,0.0,0.5,54.5
chicken crispy wings kentucky fried chicken,Meal,148.0,9.2,5.1,10.1,2.1,0.0,0.0,0.3,18.4
egg white delight mcdonalds,Meal,250.0,0.0,0.0,16.0,4.0,0.0,0.0,0.0,0.0
french toast sticks burger king,Snack,73.0,1.3,8.7,3.7,0.8,0.3,2.1,0.014,7.0
mcchicken mcdonalds,Meal,358.0,13.7,36.6,17.3,3.1,1.7,4.7,0.8,60.4
nachos supreme taco bell,Snack,480.0,14.8,45.0,26.6,7.8,8.0,0.0,0.8,104.9
crispy chicken wing kentucky fried chicken,Breakfast,104.0,12.6,1.3,5.3,1.1,0.0,0.0,0.3,23.7
chicken strips burger king,Snack,105.0,6.6,7.4,5.5,1.0,0.5,0.0,0.3,15.5
crispy chicken drumstick kentucky fried chicken,Breakfast,214.0,38.2,0.4,6.7,1.7,0.0,0.0,0.7,92.0
sausage biscuit mcdonalds,Snack,440.0,11.3,31.8,29.7,12.5,1.4,2.3,1.0,40.6
sausage burrito mcdonalds,Snack,339.0,13.0,24.2,17.1,6.1,1.2,1.4,0.8,55.8
onion rings fried,Meal,27.0,0.3,2.8,1.6,0.3,0.2,0.4,0.015,1.6
onion rings burger king,Meal,379.0,3.5,39.7,23.0,3.8,2.5,4.9,0.7,22.3
